Year,Month,Total_Revenue,Total_Orders
2023,January,14518.06,33
2023,February,4519.89,28
2023,March,56933.91,72
2023,April,28295.35,66
2023,May,26319.77,72
2023,June,34669.48,67
2023,July,33946.39,65
2023,August,28918.34,75
2023,September,82670.43,134
2023,October,32413.34,81
2023,November,78826.96,152
2023,December,72008.31,150
2024,January,18461.92,31
2024,February,11951.41,36
2024,March,39978.63,81
2024,April,34195.21,72
2024,May,30246.95,75
2024,June,24797.29,68
2024,July,28765.33,66
2024,August,37057.0,69
2024,September,64627.05,142
2024,October,31407.13,88
2024,November,75972.56,158
2024,December,75532.56,167
2025,January,18830.33,50
2025,February,22978.82,45
2025,March,53031.07,88
2025,April,38829.16,90
2025,May,57042.84,109
2025,June,40937.15,100
2025,July,40300.5,97
2025,August,31716.81,91
2025,September,73521.66,195
2025,October,59831.0,107
2025,November,79411.97,183
2025,December,97502.28,185
2026,January,44259.21,71
2026,February,20301.13,53
2026,March,60728.48,121
2026,April,36779.04,117
2026,May,45155.48,121
2026,June,53056.08,134
2026,July,45989.5,112
2026,August,64129.76,114
2026,September,88064.53,231
2026,October,83474.78,151
2026,November,118454.51,262
2026,December,85175.03,236
